,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
80,80,-1860.0,2021-12-14 19:07:58.347386,2021-12-14 19:34:04.773534,0 days 00:26:06.426148,8,0.4,0.00024707485856296634,1.0,0.9,0.0002888237687789951,1.0,20,8,0.6350616733922998,PRUNED
81,81,-1860.0,2021-12-14 19:34:04.787497,2021-12-14 20:00:27.520030,0 days 00:26:22.732533,8,0.3,1.7784076854891488e-05,0.92,0.9,9.175060046453368e-05,5.0,20,512,0.5036391355495369,PRUNED
82,82,-1860.0,2021-12-14 20:00:27.533992,2021-12-14 20:26:38.231715,0 days 00:26:10.697723,8,0.3,2.2686129655826124e-05,0.92,0.9,7.69255791906022e-05,5.0,20,512,0.5548199720291586,PRUNED
83,83,-250000.0,2021-12-14 20:26:38.247672,2021-12-14 20:28:53.809075,0 days 00:02:15.561403,128,0.3,4.767459106265708e-06,0.92,0.995,0.00015933733031578434,5.0,20,2048,0.5880269816520466,PRUNED
84,84,-1850.0,2021-12-14 20:28:53.823038,2021-12-14 20:31:27.168871,0 days 00:02:33.345833,128,0.3,0.00012106965023781269,0.92,0.98,0.0004949421918993712,5.0,20,512,0.4103275271173703,PRUNED
85,85,-250000.0,2021-12-14 20:31:27.185825,2021-12-14 20:33:17.087861,0 days 00:01:49.902036,256,0.3,5.915272275589866e-05,0.9,0.995,4.42916590602542e-05,5.0,20,512,0.29763801788946564,PRUNED
86,86,130.0,2021-12-14 20:33:17.101824,2021-12-14 21:02:47.073531,0 days 00:29:29.971707,16,0.3,0.0009796492605499121,0.92,0.9,0.00013551787810247123,5.0,20,512,0.40195617579377413,COMPLETE
87,87,-1860.0,2021-12-14 21:02:47.103452,2021-12-14 21:09:40.244389,0 days 00:06:53.140937,16,0.3,0.005700394102443088,0.92,0.9,0.00023961294035828885,2.0,10,32,0.49019954404176613,PRUNED
88,88,-1840.0,2021-12-14 21:09:40.261344,2021-12-14 21:10:41.541432,0 days 00:01:01.280088,128,0.3,9.367273386917167e-08,0.8,0.99,0.0005857226970040275,0.7,5,256,0.25403043534547515,PRUNED
89,89,130.0,2021-12-14 21:10:41.555395,2021-12-14 22:04:47.355581,0 days 00:54:05.800186,8,0.3,1.1880773544420878e-05,0.92,0.9,0.0002809271292537296,5.0,20,512,0.5191011057894365,COMPLETE
